17=F,22=N,26=I
|  |14|17|17|15|18|  | 9|12|16| 6|15|  |
| 6|  |14|  |13|  | 4|  |26|  |16|  |12|
|15|16|18|  |13|19|14|14|10|  | 9| 6|16|
|18|  |24|  |  |  |22|  |  |  |11|  |22|
| 9|19|14|25|  | 6|15|22|  | 1|16|18| 8|
|14|  |  |16| 9|12|  |15|18|18|  |  |25|
|22|15|25| 9|  |14|  | 5|  |15| 5|15|18|
|26|  |  |11|14|11|  |15| 5|15|  |  |26|
|17|18|15|15|  |14|16|18|  | 3|22|14|11|
|26|  | 2|  |  |  |20|  |  |  |16|  |26|
|15|16|11|  | 9| 1|16|18|17|  | 5|16|22|
| 8|  |18|  |14|  |18|  |19|  |15|  |24|
|  |12|16| 6| 6|23|  |21| 7|26|19|11|  |
 
