|  \  |12\  |30\  |21\  |  \  |19\  |16\  |  \  |35\  |16\  |17\  |
|  \22|     |     |     |29\16|     |     |  \23|     |     |     |
|  \31|     |     |     |     |     |     |17\24|     |     |     |
|  \  |  \11|     |     |     |     | 9\14|     |     |30\  |  \  |
|  \  | 3\24|     |     |     | 7\29|     |     |     |     | 4\  |
|  \ 4|     |     |15\12|     |     |     |22\15|     |     |     |
|  \ 7|     |     |     | 3\ 6|     |     |     |20\ 7|     |     |
|  \  |  \16|     |     |     |     |24\23|     |     |     |  \  |
|  \  | 5\  | 4\ 6|     |     |14\24|     |     |     |     | 4\  |
|  \ 9|     |     |     |  \22|     |     |     |     |     |     |
|  \ 7|     |     |     |  \17|     |     |  \ 7|     |     |     |
